Name,Constituency,Party,Cases,Education,Assets,Liabilities
Aila Prasanna,KARIMNAGAR,Anti Corruption Dynamic Party,0,Illiterate,"2,50,000",0
Ainul Haque,MANGALDOI,Asom Jana Morcha,0,10th Pass,"20,00,000",0
Aishwarya Arjun Salgaonkar,NORTH GOA,IND,2,10th Pass,"2,34,069",0
Aitawade Vidyasagar Devappa,HATKANANGLE,IND,0,Literate,"1,60,000",0
Aitha Praveen Kumar,WARANGAL,IND,0,12th Pass,"10,000",0
Ajay Bhatt,NAINITAL-UDHAMSINGH NAGAR,BJP,0,Graduate Professional,"1,96,99,529",0
Ajay Chakole,RAIPUR,Gondvana Gantantra Party,0,Graduate,"3,59,14,072",0
Ajay Dahal,DARJEELING,IND,0,12th Pass,"55,46,008",0
Ajay Kumar,JAMMU,IND,0,Post Graduate,"17,92,79,000","33,54,000"
Ajay Kumar,JAMUI,Bhartiya Dalit Party,1,Post Graduate,"64,000",0
Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,"68,01,126","53,64,747"
Ajay Pali,RAJNANDGAON,SHS,0,5th Pass,"5,02,403",880
Ajay Prakash Kurane,HATKANANGLE,BSP,0,Graduate,"35,15,450",0
Ajay Tamta,ALMORA,BJP,0,12th Pass,"99,10,448","55,845"
Ajayakumar,MAVELIKKARA,IND,0,10th Pass,"1,27,400",0
Ajaz.S,KRISHNAGIRI,IND,0,Graduate Professional,"5,88,540",0
Ajeet Kumar,ALIGARH,BSP,0,Doctorate,"28,18,52,783",0
Aji Pathanapuram,MAVELIKKARA,IND,0,10th Pass,"15,30,000","1,50,000"
Ajinath Laxman Kevate,MADHA,IND,0,Post Graduate,"19,64,870","1,65,856"
Ajinkya Aakaram Salunkhe,MADHA,IND,0,Post Graduate,"50,000",0
Ajit Namdar Tadvi,RAVER,Rastriya Aam Jan Seva Party,0,8th Pass,"15,000",0
Ajit Singh,MUZAFFARNAGAR,RLD,0,Post Graduate,"16,61,25,602",0
