Name,Constituency,Party,Cases,Education,Assets,Liabilities
Manohar Alias Sagar Pundlikrao Dabrase,NAGPUR,Vanchit Bahujan Aaghadi,0,Graduate,"41,97,060",0
Manohar Iyer,BANGALORE SOUTH,IND,0,Graduate,"11,94,97,520","20,80,647"
Manoharan M,KARUR,Anaithu Makkal Puratchi Katchi,0,Graduate,"1,85,651",0
Manoharan P,TIRUNELVELI,IND,0,5th Pass,"14,66,586",0
Manoj Gaykwad Chhattisgarhiya,DURG,IND,0,12th Pass,"2,500",0
Manoj Kothuji Bawane,NAGPUR,IND,0,12th Pass,"21,79,000","3,00,000"
Manoj Kumar,KAIRANA,Aapki Apni Party (Peoples),0,12th Pass,"16,57,200","2,50,000"
Manoj Kumar Acharya,KANDHAMAL,INC,0,Graduate,"53,30,945",0
Manoj Kumar Manda,MADHEPURA,Aam Adhikar Morcha,0,10th Pass,"1,17,76,448","50,000"
Manoj Kumar Sah,BANKA,IND,0,10th Pass,"41,500",0
Manoj Kumar Singh,BULANDSHAHR,IND,0,Graduate,"14,56,186",0
Manoj Kumar Soni,AGRA,BSP,0,Post Graduate,"13,37,84,385","2,22,51,891"
Manoj M,ATTINGAL,IND,0,10th Pass,"69,850",0
Manoj Premchand Gupta,AHMEDABAD EAST,Sarvodaya Bharat Party,0,8th Pass,"39,25,000","16,00,000"
Manoj Rana,BAGHPAT,Akhil Bhartiya Lok Dal,0,10th Pass,"1,64,75,000","70,000"
Manoj Sharma,GAUHATI,AITC,5,10th Pass,"73,00,018","18,33,258"
Manoj Vikat,BAREILLY,Bahujan Nyay Dal,1,12th Pass,"1,21,000",0
Mansukhbhai Vasava,BHARUCH,BJP,0,Post Graduate,"68,35,957",0
Maqbul Ahmed A.Habib,HINGOLI,IND,0,8th Pass,"1,00,000",0
Maradagi Veerappa Gurushantappa,DHARWAD,IND,0,12th Pass,"76,50,000","10,00,000"
Maragadam M,KANCHEEPURAM,IND,0,Illiterate,"2,01,000",0
Maragatham K,KANCHEEPURAM,AIADMK,0,Post Graduate,"1,96,31,546","65,00,000"
"Marakatha Raghava Raj, T.",THOOTHUKKUDI,IND,0,Illiterate,"1,000",0
Maram Srinivasa Reddy,ONGOLE,Praja Shanthi Party,0,Post Graduate,"52,197",0
Maram Venkat Reddy,NALGONDA,IND,0,10th Pass,"14,00,000","1,00,000"
Marang Hansda,KATIHAR,Bahujan Mukti Party,0,Others,"1,80,000",0
Maraskolhe Bhojraj Isulal,BHANDARA GONDIYA,Bhartiya Shakti Chetna Party,0,8th Pass,"8,20,000",0
Margani Bharat Ram,RAJAHMUNDRY,YSRCP,2,Graduate,"45,82,05,360","1,78,14,757"
Mark Babu,ZAHIRABAD,India Praja Bandhu Party,1,Post Graduate,"5,07,877","84,623"
Marotrao Kanhobarao Hukke Patil,HINGOLI,IND,0,Graduate Professional,"22,50,000","48,000"
Marri. Nehemiah,NALGONDA,IND,0,12th Pass,"7,70,000",0
Maru Janardhan,NIZAMABAD,IND,0,10th Pass,"19,00,000","4,70,000"
Maru Manisha Bharat,KACHCHH,IND,0,5th Pass,"3,27,000",0
Maruti Ramchandra Joshi,RATNAGIRI SINDHUDURG,Vanchit Bahujan Aaghadi,0,8th Pass,"34,93,826",0
Maruti Shivram Keskar,MADHA,Bahujan Azad Party,1,Graduate Professional,"67,30,000",0
Maruti Siddappa Chougule,BELGAUM,IND,0,10th Pass,"29,80,500",0
Mathan Singh Markam,KANKER,Bhartiya Shakti Chetna Party,0,Post Graduate,"9,85,000",0
Mathe Bobby,ELURU,RPI(A),0,12th Pass,"10,000",0
Mathivanan.S.S,TENKASI,Naam Tamilar Katchi,3,12th Pass,"42,385",0
Matiar Rahman,BARPETA,The National Road Map Party of India,0,10th Pass,"5,03,696",0
Matloob Ahmad,AMROHA,Pragatishil Samajwadi Party (Lohia),1,8th Pass,"62,19,412",0
Matta Satish Chakravarthy,SRIKAKULAM,Pyramid Party of India,0,Post Graduate,"14,50,117","10,060"
Maulappa,BIDAR,IND,0,Graduate Professional,"28,46,000","9,36,000"
Maulasab,BIDAR,IND,0,Post Graduate,"15,52,000",0
Mausam Noor,MALDAHA UTTAR,AITC,2,Graduate Professional,"1,47,86,683","3,86,896"
Maxim Pinto,DAKSHINA KANNADA,IND,0,10th Pass,"2,48,60,000","1,57,80,000"
Maya Prajapati,SURGUJA,BSP,0,Post Graduate,"78,49,844",0
Mayalagan N,MADURAI,Tamil Nadu Ilangyar Katchi,0,10th Pass,"2,65,000",0
Mayilamparai Mari A,KALLAKURICHI,IND,0,Illiterate,"18,00,000",0
Mayur Khanconkar,SOUTH GOA,IND,0,Graduate,"12,40,000",0
Mayursinh Vanrajsinh Zala,SABARKANTHA,Rashtra Vikas Zumbes Party,0,12th Pass,"6,74,667",0
Md Akhtar Ali,PURNIA,IND,0,Literate,"20,524",0
Md Ambaz Uddin,LAKHIMPUR,IND,0,10th Pass,"1,00,000",0
Md Habibur Rahaman,MURSHIDABAD,Jamat-E-Seratul Mustakim,0,Post Graduate,"55,98,091",0
Md Matin,ARARIA,IND,1,Literate,"6,02,510",0
Md Merajuddin,BIDAR,Bahujan Maha Party,0,8th Pass,"1,30,800",0
Md Minhaz Alam,ARARIA,IND,0,10th Pass,"11,10,500",0
Md Moazzem Hossain,MALDAHA DAKSHIN,AITC,0,Graduate Professional,"1,35,73,609",0
Md Mobinul Haque,ARARIA,IND,0,Post Graduate,"5,72,000",0
Md. Abdul Azeez Khan	,MAHBUBNAGAR,IND,0,Graduate Professional,"56,84,000","3,50,000"
Md. Afroj Alam,SUPAUL,IND,0,12th Pass,"14,52,300",0
Md. Dulal Hoque,MALDAHA UTTAR,IND,0,12th Pass,"78,899",0
Md. Hariqul Islam Bhuyan,KALIABOR,Asom Jana Morcha,0,Graduate Professional,"38,20,000",0
Md. Iliyash Khan,INNER MANIPUR,IND,0,12th Pass,"14,54,800",0
Md. Jalaluddin Mondal,MURSHIDABAD,IND,0,Post Graduate,"80,70,000",0
Md. Mukhtar Alam,BANKA,IND,0,8th Pass,"17,37,000",0
Md. Nurul Huda Imdadul Islam Saikia,DIBRUGARH,IND,0,Graduate,"70,41,827","1,648"
Md. Rafique Alam,BANKA,BSP,1,Graduate,"1,68,62,361","97,503"
Md. Sahajan Badsha,RAIGANJ,IND,0,Others,"57,678",0
Md. Salim,RAIGANJ,CPI(M),1,Post Graduate,"96,90,051","6,19,755"
Md. Samiruddin,JANGIPUR,SUCI(C),0,Graduate,"26,267",0
Md. Taiedul Islam,JANGIPUR,SDPI,0,Graduate,"25,20,831",0
Md. Zulfikar Ali,JANGIPUR,CPI(M),0,Post Graduate,"86,64,555","13,00,000"
Meda Malla Reddy,NELLORE,IND,0,5th Pass,"16,40,000",0
Meda Srinivasa Rao,RAJAHMUNDRY,Rashtriya Praja Congress (Secular),2,Post Graduate,"3,58,30,000","4,00,000"
Medapati Varahala Reddy,NARSAPURAM,IND,0,10th Pass,"2,66,80,000","13,00,000"
Medihala Chalavadi M Chandrashekar,KOLAR,IND,0,12th Pass,"10,10,000",0
Medipalli Shekar Reddy,NIZAMABAD,IND,0,10th Pass,"11,32,000","1,20,000"
Medisetti Vijaya Kumar,KAKINADA,IND,8,12th Pass,"4,62,43,484","1,13,58,500"
Meenakshi,UDHAMPUR,SHS,0,Graduate,"21,35,000",0
Meesala Gopal Sai Baba,SECUNDERABAD,IND,0,Graduate Professional,"97,74,500","39,00,000"
Megharaj Shivagoudappa Khanagoudar,BELGAUM,IND,0,10th Pass,0,0
Meghval Bhimjibhai Bhikhabhai,KACHCHH,IND,0,10th Pass,"7,56,102","3,93,950"
Mehbubar Rahman,DHUBRI,RPI(A),0,10th Pass,"4,90,400",0
Mekala Satheesh Reddy,NALGONDA,Janasena Party,0,Post Graduate,"34,71,000",0
Mekala Venkanna,NALGONDA,IND,0,10th Pass,"2,65,572","2,13,000"
Mekkonda Ramreddy,NIZAMABAD,IND,0,12th Pass,"18,20,000","6,00,000"
Mellegatti Shridevi,BANGALORE CENTRAL,Uttama Prajaakeeya Party,0,Post Graduate,"16,29,828",0
Mendem Santhosh Kumar,ELURU,IND,0,Others,"10,000",0
Merige Santhosh Reddy,MEDAK,Pyramid Party of India,0,10th Pass,"2,50,000","1,00,000"
Metta Ramarao,SRIKAKULAM,Janasena Party,0,Post Graduate,"6,33,85,326",0
Michael Rayappan S,TIRUNELVELI,IND,0,12th Pass,"2,72,26,236","60,91,883"
Mijanul Haque,MURSHIDABAD,BSP,0,12th Pass,"32,49,000","21,50,000"
Mili Oraon,ALIPURDUARS,Revolutionary Socialist Party,0,Post Graduate,"28,04,955","3,04,672"
Milind Bhaguram Salvi,RAIGAD,BSP,2,8th Pass,"39,60,000",0
Milind Pralhad Dahiwale,CHANDRAPUR,IND,0,10th Pass,"4,07,500",0
Minati Biswas,ANDAMAN AND NICOBAR ISLANDS,IND,0,8th Pass,"31,98,500","4,00,000"
Minaxiben Rakeshkumar Solanki,AHMEDABAD EAST,IND,0,Graduate,"69,63,794",0
Mini S,THIRUVANANTHAPURAM,SUCI(C),1,12th Pass,"1,25,235",0
Mir Hussain Sarkar,DHUBRI,IND,0,Graduate,"1,68,201","3,59,305"
Mishra Arjun Ramshankar,AHMEDABAD EAST,Jan Sangharsh Virat Party,0,Others,"95,166","1,61,113"
Mishra Jitendrabhai Premnath,NAVSARI,Sanyukt Vikas Party,0,Graduate,"11,18,952",0
Mishra Rajkumar Malekchand,AHMEDABAD EAST,IND,0,12th Pass,"42,40,000","27,78,000"
Miss Juspin Lakra,SUNDARGARH,IND,3,10th Pass,"6,400",0
Miteshbhai Patel,ANAND,BJP,2,Others,"7,70,43,053","78,10,840"
Mithra Kumar G,THIRUVANANTHAPURAM,IND,0,Post Graduate,"27,52,500",0
Mithun M Rai,DAKSHINA KANNADA,INC,1,Graduate,"3,29,63,608","1,48,04,098"
Mitta Parthasarathi,HINDUPUR,BJP,2,Graduate,"35,78,49,990","10,68,20,000"
Mittapalli Malliah,NIZAMABAD,IND,0,10th Pass,"5,07,995","2,58,800"
Mittapally Jeevan Reddy,NIZAMABAD,IND,0,10th Pass,"5,00,000",0
Mo. Aslam Alias Pasha,MORADABAD,Jan Shakti Dal,0,Literate,"7,11,541",0
Mo. Hanif,PILIBHIT,Pragatishil Samajwadi Party (Lohia),0,12th Pass,"1,67,59,000","32,50,000"
Mo. Imran Khan,MORADABAD,INC,0,Post Graduate,"3,15,47,689","1,00,34,039"
Modugula Venugopala Reddy,GUNTUR,YSRCP,3,Graduate Professional,"13,74,66,129","16,75,274"
Mohamed Hayath,DAVANAGERE,IND,0,Graduate,"2,95,000",0
Mohamed P K,WAYANAD,BSP,0,Graduate,"35,86,455",0
Mohammad Abul Kalam Azad,SUPAUL,Jai Hind Party,0,12th Pass,"20,66,100",0
Mohammad Akbar Lone,BARAMULLA,Jammu & Kashmir National Conference,0,Graduate Professional,"59,74,34,000","1,04,935"
Mohammad Arshad Hussain,MADHEPURA,IND,0,Post Graduate,"1,19,50,000",0
Mohammad Ashiq Ibrahimi,BHAGALPUR,BSP,1,Doctorate,"17,72,515",0
Mohammad Azam Khan,RAMPUR,SP,10,Graduate Professional,"4,61,24,814",0
Mohammad Ishaq,VIJAYAWADA,IND,0,12th Pass,"52,76,961","5,12,010"
Mohammad Jamal,NAGPUR,BSP,0,10th Pass,"1,75,000",0
Mohammad Khalid,DAKSHINA KANNADA,IND,0,Illiterate,"1,50,500",0
Mohammad Mohasin,AURANGABAD,Navbharat Nirman Party,0,10th Pass,"40,000",0
Mohammad Zahid,BIJNOR,IND,0,Graduate,"15,64,215",0
Mohammed Abdul Azeem,HYDERABAD,IND,0,10th Pass,0,0
Mohammed Abdul Wakeel,BIDAR,Bharat Prabhat Party,0,10th Pass,"7,85,000",0
Mohammed Aleemulla,DAVANAGERE,IND,0,12th Pass,"5,40,000",0
Mohammed Eliyas,DAKSHINA KANNADA,SDPI,1,12th Pass,"5,01,640",0
Mohammed Faizal Pp,LAKSHADWEEP,NCP,2,Post Graduate,"9,38,641",0
Mohammed Feroz Khan,HYDERABAD,INC,0,12th Pass,"74,70,000",0
Mohammed Imtiyaz Ahmad,MAHBUBNAGAR,IND,0,Post Graduate,"66,80,000",0
Mohammed Nawaz,ZAHIRABAD,Ambedkar National Congress,0,5th Pass,"4,53,267",0
Mohammed Yousuf,BIDAR,Praja Satta Party,0,10th Pass,"1,03,950",0
Mohammed Yusuf Khan,SHIMOGA,IND,0,5th Pass,"15,40,000","2,37,000"
Mohammed Zabrood Khateeb,UTTARA KANNADA,IND,2,5th Pass,"5,49,390","2,39,000"
Mohan Anandrao Waghmare,NANDED,Bahujan Mukti Party,0,10th Pass,0,0
Mohan Ayyappa,ONGOLE,IND,0,Post Graduate,"1,36,431","47,495"
Mohan Chintala Palli,NIZAMABAD,IND,0,Graduate,"9,40,000",0
Mohan Fattusing Rathod,HINGOLI,Vanchit Bahujan Aaghadi,0,Post Graduate,"1,10,50,000","8,00,000"
Mohan Gurappa Motannavar,CHIKKODI,IND,0,Graduate Professional,"13,92,350","2,55,000"
Mohan Hasda,MALDAHA UTTAR,IND,0,Graduate,"4,20,988",0
Mohan Kumar Hembram,KEONJHAR,INC,0,Post Graduate,"72,33,000","7,44,762"
Mohan Lal,GHAZIABAD,RPI(A),0,Graduate Professional,"1,90,23,713",0
Mohan Mandavi,KANKER,BJP,0,Post Graduate,"2,86,75,553","6,79,000"
Mohan N,MADURAI,IND,8,8th Pass,"1,09,050",0
Mohan Ramkisan Joshi,PUNE,INC,6,10th Pass,"6,76,24,702","3,52,12,523"
Mohan Shankar Birhade,JALGAON,Rashtriya Samajwadi Party (Secular),0,10th Pass,"20,000",0
Mohan Singh Tekam,SURGUJA,SHS,0,8th Pass,"2,82,000",0
Mohan Vishnu Raut,MADHA,IND,3,12th Pass,"15,92,565","8,54,841"
Mohan.P,SALEM,SUCI(C),0,12th Pass,"38,16,019","1,20,000"
Mohanareddy Eleti,NIZAMABAD,IND,0,10th Pass,"1,13,81,000","11,25,000"
Mohanlal Basumata,ALIPURDUARS,INC,0,Graduate Professional,"23,20,328","6,59,760"
Mohanraj A,TIRUNELVELI,IND,0,Graduate Professional,"16,92,000",0
Mohd Ahmed,HYDERABAD,IND,0,10th Pass,"4,00,000",0
Mohd Ateeq,AONLA,National Fifty Fifty Front,0,Graduate,"1,42,89,307",0
Mohd Ayub,UDHAMPUR,Navarang Congress Party,1,Graduate,"2,70,75,200","49,000"
Mohd Gufran Kazmi,KAIRANA,IND,0,Graduate,"3,12,39,500",0
Mohd Jameel,NIZAMABAD,IND,0,Post Graduate,"10,12,800",0
Mohd Maqbool War,BARAMULLA,BJP,0,Graduate,"1,13,20,000",0
Mohd Saleem,KAIRANA,IND,0,Literate,"1,06,44,799","3,00,000"
Mohd Younis,JAMMU,Jammu & Kashmir Pir Panjal Awami Party,0,Graduate Professional,"9,30,000",0
Mohd. Khushi,RAMPUR,United Democratic Front Secular,4,10th Pass,"85,000",0
Mohd. Masroor,SAMBHAL,IND,0,Not Given,"1,20,000","1,85,000"
Mohd. Salim Ahmed,GHAZIABAD,Sabse Achchhi Party,0,Literate,"32,52,000",0
Mohd. Shakeel (Adv.),ALIGARH,Lok Dal,2,Post Graduate,"16,96,000",0
Mohd. Uvais,SAHARANPUR,Pragatishil Samajwadi Party (Lohia),0,10th Pass,"28,16,921",0
Mohendra Chandra Das,SILCHAR,IND,0,8th Pass,"1,62,949",0
Mohsimmiya(Saiyad Mohsin Bapu),VADODARA,Bahujan Mukti Party,0,8th Pass,"21,36,583",0
Moideen Kunju P P,CHALAKUDY,SDPI,2,10th Pass,"2,24,64,245","66,731"
Moirangthem Nara Singh,INNER MANIPUR,CPI,0,Graduate Professional,"35,58,822","55,89,692"
Moirangthem Totomshana Nongshaba,INNER MANIPUR,IND,0,12th Pass,"1,500",0
Mojas Raja Sekhar Duggirala,AMALAPURAM,Janasena Party,1,Post Graduate,"2,89,30,012",0
Mokalla. Murali Krishna,MAHABUBABAD,IND,4,5th Pass,"14,10,500","1,50,000"
Mokim Uddin,NAWADA,Rashtriya Ulama Council,0,Graduate,"73,60,000",0
Monatan Hembram,MALDAHA UTTAR,Bahujan Mukti Party,0,Graduate,"65,000",0
Mongol Yomso,ARUNACHAL EAST,Peoples Party of Arunachal,0,12th Pass,"1,04,52,925",0
Moni Kumar,KHAGARIA,Bahujan Mukti Party,0,12th Pass,"5,66,260","50,000"
Moni Madhab Mahanta,KALIABOR,Asom Gana Parishad,0,Post Graduate,"27,50,757",0
Mookambika R,POLLACHI,Makkal Needhi Maiam,0,Graduate Professional,"9,97,75,631","9,00,000"
Moorigaadi Krishna,BHONGIR,IND,0,Post Graduate,0,0
Moorthy. D,TENKASI,IND,1,Graduate Professional,"2,65,81,000",0
Moovandhan,CUDDALORE,IND,0,Post Graduate,"24,92,000",0
Mortha Sivarama Krishna,AMALAPURAM,Pyramid Party of India,0,Graduate,0,0
Moulvi Zameruddin,BIDAR,National Development Party,0,Graduate Professional,"24,01,259","1,00,000"
Mp Yadav,BANKA,IND,0,8th Pass,"26,36,099","32,884"
Mritiunjay Roy,BANKA,IND,0,Literate,"26,05,273",0
Mudiraj Venkatesham,ZAHIRABAD,IND,0,10th Pass,"8,06,000","74,000"
Mugi Surya Prakash,HINDUPUR,IND,0,Graduate,"4,32,66,800",0
Muhammad Shakur,KATIHAR,NCP,0,Graduate,"63,30,089","65,000"
Muhammed Basheer Koyissery,PONNANI,IND,0,Literate,"6,67,375",0
Muhammed Basheer Mangalassery,PONNANI,IND,0,8th Pass,"55,21,032",0
Muhammed Basheer Nechiyan,PONNANI,IND,0,5th Pass,"39,41,000",0
Muhammed Hamdullah Sayeed,LAKSHADWEEP,INC,0,Graduate Professional,"9,50,47,817","4,45,771"
Mujeeb Naimoddin Inamdar,BEED,IND,0,10th Pass,"56,000",0
Mujeeb Rahman,WAYANAD,IND,0,10th Pass,"4,37,890",0
Mujeeb Rahman T A,CHALAKUDY,Peoples Democratic Party,0,10th Pass,"49,43,000",0
Mukesh Devi,KAIRANA,Mahasankalp Janta Party,0,Literate,"6,80,000",0
Mukesh Kumar,BIJNOR,AIFB,0,8th Pass,"28,80,000",0
Mukesh Rajesh Kuril,JALGAON,IND,0,Graduate,"5,71,087","38,984"
Mukesh Sahani,KHAGARIA,Vikassheel Insaan Party,4,8th Pass,"11,96,99,803","1,65,47,563"
Mukesh Singh,ARARIA,IND,0,8th Pass,"12,40,800",0
Mukhtiyar Shaikh,BHARUCH,IND,0,8th Pass,"54,474",0
Mukka Sreenivasa Rao,VIZIANAGARAM,Janasena Party,0,10th Pass,"1,34,28,596",0
Mukkisa Ratnakar Reddy,KARIMNAGAR,IND,0,12th Pass,"30,75,000","1,00,000"
Mukram Syed,RAJAMPET,Janasena Party,0,10th Pass,"6,00,000","12,00,000"
Mulayam Singh Yadav,MAINPURI,SP,1,Post Graduate,"20,56,04,593","2,20,55,657"
Mulla Mushtak Ajij,KOLHAPUR,IND,0,12th Pass,"99,500","40,000"
Munafar Jainubhidin Choudhary,RAIGAD,IND,0,5th Pass,"10,95,000","5,00,000"
Mundra Anilkumar,AHMEDABAD EAST,Lok Gathbandhan Party,0,Graduate Professional,"18,39,497","3,24,958"
Muneeswaran. K,TENKASI,Makkal Needhi Maiam,0,8th Pass,"10,96,500",0
Munesh Singh,PILIBHIT,IND,0,8th Pass,"22,60,371",0
Munirajappa. P,KOLAR,IND,0,12th Pass,"9,70,000",0
Muniraju.G,CHIKKBALLAPUR,Uttama Prajaakeeya Party,0,Others,"36,399",0
Munusamy A,KANCHEEPURAM,IND,0,Post Graduate,"2,16,15,246",0
Muraleedharan.K Kuttiyil Veedu,VADAKARA,IND,0,12th Pass,"1,08,07,704","18,00,000"
Muraleedharan.K Sandram,VADAKARA,IND,0,10th Pass,"43,60,293","11,35,000"
Muralikrishna Kanderi,AMALAPURAM,India Praja Bandhu Party,0,Others,"12,796",0
Murlidhar Lalsingh Pawar,AKOLA,IND,0,Post Graduate,"47,71,400",0
Murthy Kamarajar.M,SALEM,IND,0,Others,"1,26,482",0
"Murugan, P.",PERAMBALUR,IND,0,8th Pass,"3,65,000",0
Murugesan,TIRUVALLUR,IND,0,8th Pass,"12,20,000",0
Murugesan S,TIRUNELVELI,IND,0,8th Pass,"1,35,201",0
"Murugesan, S .P",DINDIGUL,IND,0,12th Pass,"10,000",0
Murugesan.P,THANJAVUR,IND,3,Post Graduate,"64,97,49,591","36,35,10,252"
Musaraat Hussain,MORADABAD,IND,0,Graduate,"83,47,923",0
Muslima Khatun,BALURGHAT,IND,0,10th Pass,"42,347",0
Musthafa Kommeri,VADAKARA,SDPI,0,Graduate,"12,55,522",0
Mustukim,SAMBALPUR,BSP,4,Illiterate,"11,55,000",0
Muthenna Lakkara,NIZAMABAD,IND,0,10th Pass,"14,85,000",0
Muthu K R P,KARUR,IND,0,12th Pass,"18,86,000",0
Muthu Murugan. M,TENKASI,IND,0,Graduate,"1,25,000","36,000"
Muthu.U,PUDUCHERRY,SUCI(C),0,10th Pass,"22,75,000",0
Muthukumar C,POLLACHI,IND,0,10th Pass,"26,26,422",0
Muthukumar G,KARUR,IND,0,Graduate Professional,"55,000",0
Muthukumar S,POLLACHI,IND,0,Graduate,"15,11,16,580","83,89,361"
Muthukumar T,MADURAI,IND,0,Literate,"13,72,000","55,000"
Muthulakshmi R,PERAMBALUR,BSP,0,Post Graduate,"43,02,000","33,00,000"
Muthumaran K,SRIPERUMBUDUR,IND,0,8th Pass,"87,000",0
Muthusamy M.P.,NAMAKKAL,Ganasangam Party of India,0,Post Graduate,"97,33,750","24,14,000"
Muthuvel.S,THANJAVUR,IND,0,Graduate Professional,"37,78,000","10,08,000"
Muttamasetty Lakshmana Siva Prasad Babu,VIJAYAWADA,Janasena Party,0,Post Graduate,"3,31,69,811","1,37,447"
Muttappa Mudakappa Hirekumbi,BAGALKOT,Raita Bharat Party,0,Literate,"10,00,000",0
Muttu S Surakod,BAGALKOT,IND,0,10th Pass,"30,99,000","9,60,000"
Mutyam Arjuna Raju,KHAMMAM,IND,0,Post Graduate,"24,50,000","90,000"
N . Shankar Goud,SECUNDERABAD,Janasena Party,0,8th Pass,"3,46,43,000","18,00,000"
N Ambarish,CHAMARAJANAGAR,IND,0,12th Pass,"1,05,000","1,00,000"
N D Venu,THRISSUR,CPI(ML) Red Star,3,12th Pass,"38,500",0
N Mallareddy,NIZAMABAD,IND,0,10th Pass,"5,50,000","50,000"
N R Appathurai,COIMBATORE,IND,3,12th Pass,"30,08,15,900","35,55,000"
N. Kathiravan,RAMANATHAPURAM,IND,0,8th Pass,"16,10,000","3,40,000"
N. Krishnappa,BANGALORE RURAL,Pyramid Party of India,0,10th Pass,"86,25,000",0
N. Nagesh,MYSORE,IND,0,12th Pass,"26,150",0
N. Narayana Swamy Navakoti,BANGALORE NORTH,Jai Vijaya Bharathi Party,0,10th Pass,"54,68,000","4,10,000"
N. Omkar Reddy,NIZAMABAD,IND,0,Graduate Professional,"18,11,500","3,30,000"
N. Panneer Selvan,VELLORE,IND,0,Post Graduate,0,0
N. Raghavn,KOZHIKODE,IND,0,5th Pass,"15,23,300","8,00,000"
N. Reddeppa,CHITTOOR,YSRCP,0,Post Graduate,"1,73,55,862","13,41,542"
N. Satheesh Kannan,CHENNAI NORTH,IND,0,Graduate Professional,"8,43,000",0
N. Tamizh Marane,PUDUCHERRY,IND,1,Post Graduate,"30,88,900","28,30,000"
N.C. Subbarayappa,KOLAR,IND,0,Graduate Professional,"6,29,000",0
N.Hanume Gowda,BANGALORE NORTH,IND,2,12th Pass,"90,52,030","12,42,906"
N.Karthick,SIVAGANGA,IND,0,8th Pass,"15,000",0
N.Kristappa,HINDUPUR,TDP,4,Graduate,"5,13,75,301","10,11,804"
N.Subramani,CHENNAI SOUTH,IND,0,Post Graduate,"82,17,865","2,00,100"
N.T.Vijayakumar,SHIMOGA,IND,0,10th Pass,"1,10,000",0
N.Vikraman,TIRUVALLUR,IND,0,Post Graduate,"25,500",0
Naba Kumar Sarania,KOKRAJHAR,IND,5,12th Pass,"1,30,13,994","1,75,069"
Nabakishore Pradhan,SAMBALPUR,SUCI(C),1,Graduate,"4,382",0
Nabam Tuki,ARUNACHAL WEST,INC,1,Graduate,"1,00,29,50,534","20,49,55,775"
Nachi. S,TIRUCHIRAPPALLI,Desiya Uzhavar Uzhaipalar Kazhagam,0,10th Pass,"7,07,000",0
Nadakuditi Naga Gayathri,MACHILIPATNAM,IND,0,Post Graduate,"89,21,500","43,90,000"
Nade Dnyaneshwar Dagduji,JALNA,IND,1,8th Pass,"1,35,000",0
Nadipi Gangaram Niradi,NIZAMABAD,IND,0,Illiterate,"7,50,000",0
Nadir,MORADABAD,Peace Party,3,10th Pass,"88,96,218",0
Nadisharam Mallaiah,NIZAMABAD,IND,0,10th Pass,"9,48,500","20,000"
Naga Jothi K,MADURAI,IND,0,Graduate,"21,21,645","19,54,058"
Nagababu Konidela,NARSAPURAM,Janasena Party,0,Graduate Professional,"36,78,20,773","2,16,78,798"
Nagajothi M,KARUR,IND,0,10th Pass,"7,82,000",0
"Nagaraj , M",DINDIGUL,IND,0,Others,"2,79,905",0
Nagaraj Anant Shirali,UTTARA KANNADA,IND,0,10th Pass,"55,93,000","26,000"
Nagaraj G,KOLLAM,IND,1,10th Pass,"8,000","3,00,000"
Nagaraj Kalal,KOPPAL,IND,0,8th Pass,"67,98,500",0
Nagaraj Naik,UTTARA KANNADA,Rashtriya Samaj Paksha,3,10th Pass,"81,095","2,60,610"
Nagarajan S,KALLAKURICHI,IND,0,Post Graduate,"1,96,000",0
"Nagarajan, A.",NILGIRIS,IND,1,10th Pass,"74,000","1,88,995"
Nagendra Kumar,GHAZIABAD,SHS,0,Graduate,"43,92,354","7,85,000"
Nagendra Rao Shinde,CHIKKBALLAPUR,Karnataka Jantha Paksha,0,Post Graduate,"1,60,19,934","5,11,131"
Nagendra Singh Tyagi,KHAGARIA,IND,4,Graduate,"70,51,000",0
Nagesh Subhash Bobate,BELGAUM,IND,0,10th Pass,"93,500",0
Nagesh.L,KRISHNAGIRI,IND,0,10th Pass,"2,06,000",0
Nagoor Meeran Peer Mohamed. U,KANNIYAKUMARI,IND,0,5th Pass,"32,100","82,000"
Nagraj Shridhar Shet,UTTARA KANNADA,Rashtriya Jansambhavna Party,0,8th Pass,"35,50,000",0
Nagulapalli Devendhar,NIZAMABAD,IND,0,Illiterate,"1,14,17,000","2,75,000"
Naidugari Rajasekhar,SRIKAKULAM,IND,0,Post Graduate,"41,500",0
Naim,RAMPUR,IND,0,Illiterate,"3,21,961",0
Nainar Nagenthran,RAMANATHAPURAM,BJP,1,Post Graduate,"19,46,74,653","8,04,59,602"
Najimunnissa,CHENNAI CENTRAL,Anaithu Makkal Katchi,0,8th Pass,"10,40,000",0
Nakirikanti Sanjeeva Rao,KHAMMAM,IND,0,Illiterate,"26,84,500","7,47,000"
Nakirikanti. Chittemma,NALGONDA,IND,0,Illiterate,"26,84,500","7,47,000"
Nakum Narmadaben Khodalal,JAMNAGAR,IND,0,5th Pass,"7,87,108","89,883"
Nalage Ananda Shankar,SANGLI,Baliraja Party,1,12th Pass,"1,26,260","90,000"
Nalamada Uttam Kumar Reddy,NALGONDA,INC,4,Graduate,"3,15,01,349","12,00,000"
Nalin Chandra Murmu,BALURGHAT,BSP,0,10th Pass,"18,83,293",0
Nalin Kumar Kateel,DAKSHINA KANNADA,BJP,4,10th Pass,"1,46,78,300","44,50,945"
Nalina.K.S,CHIKKBALLAPUR,IND,0,12th Pass,"66,925",0
Nalini Kanta Pradhan,SAMBALPUR,BJD,0,Post Graduate,"7,56,51,064","22,59,000"
